ESTABLECIMIENTO,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,ESTABLECIMIENTO_VARIANTES
CEEX CONCEPCIN CHIQUIRICHAPA,09-11-0023-46,09-012,QUETZALTENANGO,CONCEPCION CHIQUIRICHAPA,1A.. AVENIDA 2-14 ZONA 4,44988086,JUAN JOSE COLOP COLOP,MIRNA SUSANA LORENZO LÓPEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,QUETZALTENANGO,CEEX-CONCEPCIÓN CHIQUIRICHAPA
CEEX ESCUELA DE CAFICULTURA ANTIGUA COFEE,03-01-0194-46,03-016,SACATEPEQUEZ,ANTIGUA GUATEMALA,HACIENDA FINCA CARMONA ALDEA SAN JUAN DEL OBISPO,42176394,OSCAR OSWALDO SON CAMEZ,MARVIN EDUARDO GONZÁLEZ CARCUZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SACATEPÉQUEZ,-CEEX- ESCUELA DE CAFICULTURA ANTIGUA COFEE
CEEX FORT LIC. ELISEO DANIEL ALVAREZ NATARENO,00-11-0068-46,01-640,CIUDAD CAPITAL,ZONA 11,51 CALLE 4-96 COLONIA CASTAÑAS ZONA 11,41206441,ELISEO DANIEL ALVAREZ NATARENO,LUIS ALFREDO ROJAS ROJAS,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,GUATEMALA SUR,CEEX-FORT LIC. ELISEO DANIEL ALVAREZ NATARENO
CEEX PALESTINA DE LOS ALTOS,09-24-0035-46,09-012,QUETZALTENANGO,PALESTINA DE LOS ALTOS,"A LA PAR DEL VIVERO FERESTAL MUNICIPAL, ZONA 2",32278427,JUAN JOSE COLOP COLOP,INGRID MARLENY MÉNDEZ ROMERO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,QUETZALTENANGO,CEEX-PALESTINA DE LOS ALTOS
"CEEX SECRETARIA DE BIENESTAR SOCIAL DE LA PRESIDENCIA DE LA REPBLICA , SEDE COLONIA LAS CHARCAS",00-11-0091-46,01-640,CIUDAD CAPITAL,ZONA 11,32A. CALLE 9-34,42209306,ELISEO DANIEL ALVAREZ NATARENO,SUSAN GLORIANA SALAZAR FIGUEROA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,GUATEMALA SUR,"""CEEX - SECRETARIA DE BIENESTAR SOCIAL DE LA PRESIDENCIA DE LA REPÚBLICA"", SEDE COLONIA LAS CHARCAS"
CENTRO CRISTIANO EDUCACIONAL VIDA S.A.,01-15-6187-46,01-213,GUATEMALA,VILLA NUEVA,SAN ANTONIO EL FRUTAL ZONA 6,66356712,MARTHA SUSANA ROBLES CHAVEZ,ISIS SAMANDA BARILLAS GUZMAN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,CENTRO CRISTIANO EDUCACIONAL VIDA S.A.
CENTRO CULTURAL AVE MARIA DE LA ASUNCION,01-15-9501-46,01-219,GUATEMALA,VILLA NUEVA,LOTE 33 RESIDENCIALES LA SELVA CIUDAD SAN CRISTOBAL ZONA 8,24786391,DAVID SALOMON MEJIA SAMAYOA,JULIO RODOLFO GUERRA GUTIÉRREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,CENTRO CULTURAL AVE MARIA DE LA ASUNCION
CENTRO CULTURAL DE AMERICA,"15-03-0778-46, 15-03-1888-46",15-031,BAJA VERAPAZ,RABINAL,"3 CALLE 2-87 ZONA 2, 3ERA. CALLE 2-87 ZONA 2",79388718,EDGAR OVIDIO SIC XITUMUL,FABIO RAXCACO ISMALEJ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ,CENTRO CULTURAL DE AMERICA
CENTRO CULTURAL DE LAS AMERICAS NO. 3,"00-01-0281-46, 00-01-0343-46, 00-01-6999-46","01-316, 01-403",CIUDAD CAPITAL,ZONA 1,"2A. AV. 12-23, 2A. AVENIDA 12-23","22321894, 22325526, 22384217","CARLOS HUMBERTO GONZALEZ DE LEON, CARLOS HUMBERTO GONZÁLEZ DE LEÓN","BRENDA PAOLA GONZÁLEZ RECINOS, HUGO VALDEMAR RIVAS MORALES",DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, MATUTINA, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA",GUATEMALA NORTE,CENTRO CULTURAL DE LAS AMERICAS NO. 3
CENTRO CULTURAL SAGRADA FAMILIA NO. 1,01-17-8771-46,01-204,GUATEMALA,SAN MIGUEL PETAPA,LOTE 4 MANZANA A SECTOR 2 VILLAHERMOSA II,24484100,ALFREDO NOHELI TEMAJ MORALES,GLORIA ESTELA GUERRA GUTIÉRREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,CENTRO CULTURAL SAGRADA FAMILIA NO. 1
CENTRO DE APRENDIZAJE A DISTANCIA EDUCATIVO CADE,"00-21-0095-46, 00-21-0096-46","01-635, 01-641",CIUDAD CAPITAL,ZONA 21,"8A. CALLE 10-30, COLONIA VÁSQUEZ",57044487,"MILTON ALONSO ALVAREZ FUENTES, NATALY FABIOLA SOTO ESPAÑA DE TURCIOS",MARCO TULIO ROBLERO OSORIO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"MATUTINA, SIN JORNADA",A DISTANCIA,GUATEMALA SUR,"CENTRO DE APRENDIZAJE A DISTANCIA EDUCATIVO ""CADE"""
CENTRO DE APRENDIZAJE BILINGE NO. 1,"01-08-0407-46, 01-08-0548-46",01-609,GUATEMALA,MIXCO,"7A. CALLE 3-96 SECTOR II, COLONIA. BALCONES CIUDAD SAN CRISTOBAL ZONA 8, 7A. CALLE 3-96 ZONA 8 BALCONES II SAN CRISTOBAL",25048292,SILVIA HORTENSIA GONZALEZ MARTINEZ,GRYSELDA RAMIREZ BARRIENTOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, MATUTINA",DIARIO(REGULAR),GUATEMALA OCCIDENTE,"CENTRO DE APRENDIZAJE BILINGUE NO. 1, CENTRO DE APRENDIZAJE BILINGÜE NO. 1"
CENTRO DE APRENDIZAJE INTEGRAL EL CEDAPRI VESPERTINO,00-02-0044-46,01-301,CIUDAD CAPITAL,ZONA 2,"13 AVENIDA 10-20, CIUDAD NUEVA",22091616,LUCRECIA MARISOL CERMEÑO GONZÁLEZ,ELSA DELIA CONTRERAS NÁJERA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE,CENTRO DE APRENDIZAJE INTEGRAL EL CEDAPRI VESPERTINO
CENTRO DE APRENDIZAJE ISOS,"01-08-0964-46, 01-08-0965-46, 01-08-0995-46, 01-08-0996-46",01-639,GUATEMALA,MIXCO,"14 AVENIDA 0-81 URBANIZACION GONZALEZ, ZONA 2 MIXCO, 14 AVENIDA 0-81, URBANIZACION GONZALEZ, ZONA 2 MIXCO, 14 AVENIDA 0-81, URBANIZACIÓN GONZÁLEZ ZONA 2",39914060,LUDVIN RICARDO URRUTIA LORENTI,DILIA MORALES HERNÁNDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, SIN JORNADA","A DISTANCIA, SEMIPRESENCIAL, SEMIPRESENCIAL (FIN DE SEMANA)",GUATEMALA OCCIDENTE,"CENTRO DE APRENDIZAJE ISOS, CENTRO DE APRENDIZAJES ISOS"
CENTRO DE COMPUTACIN CEI PC LINDA VISTA,"01-10-0286-46, 01-10-0287-46",01-639,GUATEMALA,SAN JUAN SACATEPEQUEZ,"LOTE 19 MANZANA A, LINDA VISTA I",66104454,LUDVIN RICARDO URRUTIA LORENTI,"JOSÉ DOMINGO PÉREZ MESIAS, JOSÉ DOMINGO PÉREZ MESÍAS",DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,GUATEMALA OCCIDENTE,CENTRO DE COMPUTACIÓN CEI-PC LINDA VISTA
CENTRO DE COMPUTACIN CEI PC VILLAS,"01-10-0279-46, 01-10-0292-46",01-639,GUATEMALA,SAN JUAN SACATEPEQUEZ,LOTE 14 MANZANA 61 VILLAS DEL QUETZAL,46439849,LUDVIN RICARDO URRUTIA LORENTI,ANGÉLICA MARINA ARÉVALO CERÓN,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,GUATEMALA OCCIDENTE,CENTRO DE COMPUTACIÓN CEI-PC VILLAS
CENTRO DE COMPUTACION CEI PC,"01-10-0136-46, 01-10-9545-46","01-410, 01-636",GUATEMALA,SAN JUAN SACATEPEQUEZ,"LOTE 19 MANZANA A LINDA VISTA I CIUDAD QUETZAL SAN JUAN SACATEPÉQUEZ, LOTE 19, MANZANA A , LINDA VISTA I","58662894, 66647624","CEDWIN EUGENIO CRUZ BUCARO, MARIO ALEJANDRO NAJARRO GARCIA SALAS","JOSÉ DOMINGO PÉREZ MESÍAS, JOSÉ LUIS VEGA GUEVARA",DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA OCCIDENTE,CENTRO DE COMPUTACION CEI-PC
CENTRO DE DESARROLLO EDUCATIVO 'SAN JOSE',01-08-8630-46,01-601,GUATEMALA,MIXCO,7A. CALLE 4-09 JARDINES DE SAN JUAN DOS ZONA 7,24329922,CLAUDIO DANIEL YAC OROZCO,KAROL ALEJANDRA CHÁVEZ JIMÉNEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE,CENTRO DE DESARROLLO EDUCATIVO 'SAN JOSE'
CENTRO DE DESARROLLO EDUCATIVO SAN JOS,"01-08-0825-46, 01-08-0932-46, 01-08-8520-46","01-601, 01-603",GUATEMALA,MIXCO,"7A. CALLE 4-09 COLONIA JARDINES DE SAN JUAN II, ZONA 7, 7A. CALLE 4-09 JARDINES DE SAN JUAN II ZONA 7","24329922, 55136446","CLAUDIO DANIEL YAC OROZCO, ROSA ALBELIA ARDON DE MOTTA",KAROL ALEJANDRA CHÁVEZ JIMÉNEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, MATUTINA, SIN JORNADA","DIARIO(REGULAR), FIN DE SEMANA, SEMIPRESENCIAL (UN DÍA A LA SEMANA)",GUATEMALA OCCIDENTE,"CENTRO DE DESARROLLO EDUCATIVO SAN ""JOSÉ"", CENTRO DE DESARROLLO EDUCATIVO SAN JOSE"
CENTRO DE DESARROLLO HUMANO TECNOLOGICO ASOCIACION GRUPO CEIBA,18-01-0402-46,18-009,IZABAL,PUERTO BARRIOS,"COLONIA SAN AGUSTIN, ALDEA SANTO TOMAS DE CASTILLA",41310547,ANA MARIBEL CASTILLO DIAZ,MARIA DEL CARMEN URIZAR CATALAN,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,IZABAL,CENTRO DE DESARROLLO HUMANO TECNOLOGICO ASOCIACION GRUPO CEIBA
CENTRO DE EDCACIN EXTRAESCOLAR CEEX,"01-13-0103-46, 12-02-0195-46, 12-05-0101-46, 12-09-0165-46, 12-10-0072-46, 12-11-0039-46, 12-12-0095-46, 12-15-0159-46, 12-26-0058-46, 12-26-0073-46, 16-01-0712-46, 16-09-0848-46, 16-12-0203-46, 16-13-0267-46, 16-17-0143-46","01-637, 12-109, 16-050","ALTA VERAPAZ, GUATEMALA, SAN MARCOS","CHISEC, COBAN, FRAIJANES, MALACATAN, NUEVO PROGRESO, RAXRUHA, SAN MIGUEL IXTAHUACAN, SAN PEDRO CARCHA, SAN PEDRO SACATEPEQUEZ, SAN RAFAEL PIE DE LA CUESTA, SANTA MARIA CAHABON, SIPACAPA, TAJUMULCO, TEJUTLA","10 AVENIDA 1-25 ZONA 3, 1A. AVENIDA 1-34 ZONA 2 COLONIA PAVON, KM. 17.5 CARRETERA A PAVON GUATEMALA, CABECERA MUNICIPAL, CHISEC, NUEVO PROGRESO, RAXRUHÁ, SAN MIGUEL IXTAHUACÁN, SAN PEDRO CARCHA, SANTA MARIA CAHABON, SIPACAPA, TAJUMULCO","41122936, 42809114, 46585879, 46918324, 47233289, 48488623, 51602894, 57090776, 57243796, 66372088, 79521302","JOSUE VINICIO ROMERO REYES, MAXIMILIANO CHUB ICAL, VIOLETA FLORIDALMA FUENTES QUIROA","ANABELA CECILIA BOL CAAL, ANGELA DILMA AJPOP PAZ, ARMANDO LEONEL AMBROCIO CRÚZ, CRUZ ALBERTO POP CHÓ, EDGAR FLORENCIO TUT CHUB, EMERSON MAUDIEL BARRERA MALDONADO, LISSY STEISSY SIERRA LÓPEZ, MARINA DE LOS ANGELES HERNÁNDEZ GÓMEZ DE BARRIENTOS, ROXANA CELESTE LÓPEZ SÁNCHEZ, TAYRA MISHELL DE LEÓN FLORES, VILMA ANTONIETA RAX CHON",DIVERSIFICADO,"OFICIAL, PRIVADO","RURAL, URBANA",ABIERTA,"BILINGUE, MONOLINGUE","DOBLE, VESPERTINA","DIARIO(REGULAR), SEMIPRESENCIAL","ALTA VERAPAZ, GUATEMALA ORIENTE, SAN MARCOS","CENTRO DE EDCACIÓN EXTRAESCOLAR-CEEX-, CENTRO DE EDUCACIÓN EXTRAESCOLAR, CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- ""DEIRO"", CENTRO DE EDUCACIÓN EXTRAESCOLAR CEIBA, ENBI CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-"
CENTRO DE EDUCACIN A DISTANCIA ESCOLARIS,"01-08-0707-46, 01-08-0709-46",01-639,GUATEMALA,MIXCO,"KM. 19.5 CARRETERA ROOSEVELT 7-55, LO DE COY ZONA 1",23271111,LUDVIN RICARDO URRUTIA LORENTI,WHENDOLYN BETSABE ESTRADA CANIZALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,GUATEMALA OCCIDENTE,CENTRO DE EDUCACIÓN A DISTANCIA ESCOLARIS
CENTRO DE EDUCACIN A DISTANCIA ITZAMN,"19-01-0209-46, 19-01-0942-46",19-019,ZACAPA,ZACAPA,"5A. CALLE 11-20 ZONA 1, 5TA CALLE 11-20, ZONA 1",58765309,HUGO WILFREDO VARGAS CHACON,AÍDA CONSUELO CHACÓN MARÍN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, SIN JORNADA","FIN DE SEMANA, SEMIPRESENCIAL (UN DÍA A LA SEMANA)",ZACAPA,"CENTRO DE EDUCACIÓN A DISTANCIA ""ITZAMNÁ"""
CENTRO DE EDUCACIN CONTINUADA PARA ADOLESCENTES CON DISCAPACIDAD AUDITIVA,00-01-0791-46,01-403,CIUDAD CAPITAL,ZONA 1,2A. AVENIDA 8-53,22534953,CARLOS HUMBERTO GONZÁLEZ DE LEÓN,JANELVA ZUSELLY BARAHONA DOMINGUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),GUATEMALA NORTE,CENTRO DE EDUCACIÓN CONTINUADA PARA ADOLESCENTES CON DISCAPACIDAD AUDITIVA
CENTRO DE EDUCACIN CREATIVA TOSCANA,"00-13-8402-46, 00-14-0017-46",01-501,CIUDAD CAPITAL,"ZONA 13, ZONA 14","15 AVENIDA 19-52, 2 AVENIDA 12-05 ZONA 14 GUATEMALA","23326867, 43441119",JULIO JACOBO GIL URBINA,VIVIAN GERTRUDIS MEJÍA MARÍN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,"CENTRO DE EDUCACION CREATIVA TOSCANA, CENTRO DE EDUCACIÓN CREATIVA TOSCANA"
CENTRO DE EDUCACIN DE ADULTOS BUGANVILIA,05-03-0041-46,05-023,ESCUINTLA,LA DEMOCRACIA,FINCA BUGANVILIA DEL INGENIO MAGDALENA.,42106990,ENMA ELIZABRTH GONZÁLEZ FAJARDO DE QUIÑONEZ.,MAGDA MIREA SILVA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),ESCUINTLA,CENTRO DE EDUCACIÓN DE ADULTOS BUGANVILIA
CENTRO DE EDUCACIN EXTRA ESCOLAR CEEX JARDIN DE FATIMA,12-07-0230-46,12-109,SAN MARCOS,TACANA,ALDEA TOJCHECHE,52058261,VIOLETA FLORIDALMA FUENTES QUIROA,GERARDO PÉREZ MORALES,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SAN MARCOS,"CENTRO DE EDUCACIÓN EXTRA ESCOLAR CEEX ""JARDIN DE FATIMA"""
CENTRO DE EDUCACIN EXTRAESCOLAR ASOCIACIN CREAMOS,00-07-0205-46,01-639,CIUDAD CAPITAL,ZONA 7,6A. AVENIDA 11-95 ZONA 7 COLONIA LANDÍVAR,54601270,LUDVIN RICARDO URRUTIA LORENTI,CARMEN ROSSANA BOCHE NORIEGA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,SEMIPRESENCIAL,GUATEMALA OCCIDENTE,CENTRO DE EDUCACIÓN EXTRAESCOLAR ASOCIACIÓN CREAMOS
CENTRO DE EDUCACIN EXTRAESCOLAR CEEX  EDUCANDO MI PAS,00-15-0012-46,01-637,CIUDAD CAPITAL,ZONA 15,24A. A 3-48 VISTA HERMOSA 1 ZONA 15 GUATEMALA,22975300,JOSUE VINICIO ROMERO REYES,JULIETA MARIBEL LÓPEZ SIERRA DE FRANCO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,GUATEMALA ORIENTE,"CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX "" EDUCANDO MI PAÍS """
CENTRO DE EDUCACIN EXTRAESCOLAR CEEX ASOCIACIN FUTURO PARA TODOS,01-08-0607-46,01-639,GUATEMALA,MIXCO,"7MA AVENIDA D 7-58 SECTOR A, 10, ALDEA EL CAMPANERO, ZONA 8",55498458,LUDVIN RICARDO URRUTIA LORENTI,HEIDI BEATRIZ MORALES CHUPINA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA OCCIDENTE,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- ASOCIACIÓN FUTURO PARA TODOS
CENTRO DE EDUCACIN EXTRAESCOLAR CEEX CANTEL,09-14-0043-46,09-012,QUETZALTENANGO,CANTEL,3ER NIVEL MERCADO MUNICIPAL ALDEA LA ESTANCIA,44988113,JUAN JOSE COLOP COLOP,BRENDY YOHANA ROMERO LÓPEZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),QUETZALTENANGO,CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX-CANTEL
CENTRO DE EDUCACIN EXTRAESCOLAR CEEX CASA JOVEN,00-09-0026-46,01-637,CIUDAD CAPITAL,ZONA 9,"5A. AVENIDA 12-31, EDIFICIO EL CORTEZ, SEXTO NIVEL OFICINA 605",54293338,JOSUE VINICIO ROMERO REYES,VILMA LISSET CAMAJA CANTO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA ORIENTE,"CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- ""CASA JOVEN"""
CENTRO DE EDUCACIN EXTRAESCOLAR CEEX CENTRO DE EDUCACIN BSICA ALTERNATIVA DE CHIANTLA PMF,13-02-0308-46,13-060,HUEHUETENANGO,CHIANTLA,CABECERA MUNICIPAL,32344761,AROLDO HOSBERI SOSA LÓPEZ,BRANLY GUDIEL GÓMEZ GÓMEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,HUEHUETENANGO,"CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX- CENTRO DE EDUCACIÓN BÁSICA ALTERNATIVA DE CHIANTLA PMF"""
CENTRO DE EDUCACIN EXTRAESCOLAR CEEX COATEPEQUE,09-20-0116-46,09-012,QUETZALTENANGO,COATEPEQUE,"11 CALLE 19-19 ZONA 1, BARRIO AURORA ZONA 8",43630967,JUAN JOSE COLOP COLOP,ZOILA MAGDALENA MONZÓN CHIQUÍN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,QUETZALTENANGO,CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX-COATEPEQUE
CENTRO DE EDUCACIN EXTRAESCOLAR CEEX COFIO STAHL,20-01-0251-46,20-030,CHIQUIMULA,CHIQUIMULA,ALDEA EL DURAZNO,55543693,VILMA ESPERANZA LOPEZ INTERIANO,RHOBBIN ALEXANDER ESQUIVEL CÁCERES,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- COFIÑO STAHL
